,Date,Country/Region,Confirmed,Deaths,Recovered,Active,New cases,New deaths,New recovered,WHO Region
7718,2020-03-03,Ecuador,7,0,0,7,1,0,0,Americas
7778,2020-03-03,Mexico,5,0,1,4,0,0,1,Americas
7824,2020-03-03,Spain,165,1,2,162,45,1,0,Europe
7860,2020-03-04,Argentina,1,0,0,1,0,0,0,Americas
7889,2020-03-04,Chile,10,0,0,10,0,0,0,Americas
7905,2020-03-04,Ecuador,10,0,0,10,3,0,0,Americas
7965,2020-03-04,Mexico,5,0,1,4,0,0,0,Americas
8011,2020-03-04,Spain,222,2,2,218,57,1,0,Europe
8047,2020-03-05,Argentina,1,0,0,1,0,0,0,Americas
8076,2020-03-05,Chile,13,0,0,13,3,0,0,Americas
8092,2020-03-05,Ecuador,13,0,0,13,3,0,0,Americas
8152,2020-03-05,Mexico,5,0,1,4,0,0,0,Americas
8198,2020-03-05,Spain,259,3,2,254,37,1,0,Europe
8234,2020-03-06,Argentina,2,0,0,2,1,0,0,Americas
8263,2020-03-06,Chile,13,0,0,13,0,0,0,Americas
8279,2020-03-06,Ecuador,13,0,0,13,0,0,0,Americas
8339,2020-03-06,Mexico,6,0,1,5,1,0,0,Americas
8385,2020-03-06,Spain,400,5,2,393,141,2,0,Europe
8421,2020-03-07,Argentina,8,0,0,8,6,0,0,Americas
8450,2020-03-07,Chile,13,0,0,13,0,0,0,Americas
8466,2020-03-07,Ecuador,13,0,0,13,0,0,0,Americas
8526,2020-03-07,Mexico,6,0,1,5,0,0,0,Americas
8572,2020-03-07,Spain,500,10,30,460,100,5,28,Europe
8608,2020-03-08,Argentina,12,1,0,11,4,1,0,Americas
8637,2020-03-08,Chile,20,0,0,20,7,0,0,Americas
8653,2020-03-08,Ecuador,14,0,0,14,1,0,0,Americas
8713,2020-03-08,Mexico,7,0,1,6,1,0,0,Americas
8759,2020-03-08,Spain,673,17,30,626,173,7,0,Europe
8795,2020-03-09,Argentina,12,1,0,11,0,0,0,Americas
8824,2020-03-09,Chile,20,0,0,20,0,0,0,Americas
8840,2020-03-09,Ecuador,15,0,0,15,1,0,0,Americas
8900,2020-03-09,Mexico,7,0,1,6,0,0,0,Americas
8946,2020-03-09,Spain,1073,28,32,1013,400,11,2,Europe
8982,2020-03-10,Argentina,17,1,0,16,5,0,0,Americas
9011,2020-03-10,Chile,25,0,0,25,5,0,0,Americas
9027,2020-03-10,Ecuador,15,0,0,15,0,0,0,Americas
9087,2020-03-10,Mexico,7,0,4,3,0,0,3,Americas
9133,2020-03-10,Spain,1695,35,32,1628,622,7,0,Europe
9169,2020-03-11,Argentina,19,1,0,18,2,0,0,Americas
9198,2020-03-11,Chile,35,0,0,35,10,0,0,Americas
9214,2020-03-11,Ecuador,17,0,0,17,2,0,0,Americas
9274,2020-03-11,Mexico,8,0,4,4,1,0,0,Americas
9320,2020-03-11,Spain,2277,54,183,2040,582,19,151,Europe
9356,2020-03-12,Argentina,19,1,0,18,0,0,0,Americas
9385,2020-03-12,Chile,35,0,0,35,0,0,0,Americas
9401,2020-03-12,Ecuador,17,0,0,17,0,0,0,Americas
9461,2020-03-12,Mexico,12,0,4,8,4,0,0,Americas
9507,2020-03-12,Spain,2277,55,183,2039,0,1,0,Europe
9543,2020-03-13,Argentina,31,2,0,29,12,1,0,Americas
9572,2020-03-13,Chile,55,0,0,55,20,0,0,Americas
9588,2020-03-13,Ecuador,17,0,0,17,0,0,0,Americas
9648,2020-03-13,Mexico,26,0,4,22,14,0,0,Americas
9694,2020-03-13,Spain,5232,133,193,4906,2955,78,10,Europe
9730,2020-03-14,Argentina,34,2,1,31,3,0,1,Americas
9759,2020-03-14,Chile,88,0,0,88,33,0,0,Americas
9775,2020-03-14,Ecuador,28,2,0,26,11,2,0,Americas
9835,2020-03-14,Mexico,41,0,4,37,15,0,0,Americas
9881,2020-03-14,Spain,6391,195,517,5679,1159,62,324,Europe
9917,2020-03-15,Argentina,45,2,1,42,11,0,0,Americas
9946,2020-03-15,Chile,101,0,0,101,13,0,0,Americas
9962,2020-03-15,Ecuador,28,2,0,26,0,0,0,Americas
10022,2020-03-15,Mexico,53,0,4,49,12,0,0,Americas
10068,2020-03-15,Spain,7798,289,517,6992,1407,94,0,Europe
10104,2020-03-16,Argentina,56,2,1,53,11,0,0,Americas
10133,2020-03-16,Chile,182,0,0,182,81,0,0,Americas
10149,2020-03-16,Ecuador,37,2,0,35,9,0,0,Americas
10209,2020-03-16,Mexico,82,0,4,78,29,0,0,Americas
10255,2020-03-16,Spain,9942,342,530,9070,2144,53,13,Europe
10291,2020-03-17,Argentina,68,2,3,63,12,0,2,Americas
10320,2020-03-17,Chile,228,0,0,228,46,0,0,Americas
10336,2020-03-17,Ecuador,58,2,0,56,21,0,0,Americas
10396,2020-03-17,Mexico,93,0,4,89,11,0,0,Americas
10442,2020-03-17,Spain,11748,533,1028,10187,1806,191,498,Europe
10478,2020-03-18,Argentina,79,2,3,74,11,0,0,Americas
10507,2020-03-18,Chile,265,0,0,265,37,0,0,Americas
10523,2020-03-18,Ecuador,111,2,0,109,53,0,0,Americas
10583,2020-03-18,Mexico,118,0,4,114,25,0,0,Americas
